               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.031698,            0.026112,            0.017767,             0.84504,             0.98826,             0.90307,             0.72647,             0.02553,            0.019191,             0.01659,            0.005446,            0.005446,            0.005446
                  71,            0.031834,            0.025496,            0.017132,             0.77543,             0.98191,             0.90265,             0.66219,            0.032579,            0.021625,            0.016407,             0.00538,             0.00538,             0.00538
                  72,            0.032369,            0.027915,            0.016515,             0.58729,             0.98489,             0.89159,             0.66436,            0.032545,            0.021168,            0.016282,            0.005314,            0.005314,            0.005314
                  73,            0.032504,            0.027564,            0.017019,             0.79222,             0.98737,             0.90366,             0.71298,            0.028003,            0.020024,            0.016225,            0.005248,            0.005248,            0.005248
                  74,            0.032379,            0.025085,            0.016362,             0.68531,             0.98741,             0.87706,             0.61309,            0.028237,            0.019843,            0.016197,            0.005182,            0.005182,            0.005182
                  75,            0.032202,            0.023305,            0.017401,             0.60223,             0.93096,             0.87233,             0.55405,            0.031158,            0.020651,            0.015974,            0.005116,            0.005116,            0.005116
                  76,            0.031268,            0.025366,            0.016494,             0.83073,             0.92682,             0.90525,             0.69641,             0.02885,            0.020559,            0.015824,             0.00505,             0.00505,             0.00505
                  77,            0.031156,             0.02705,            0.015939,             0.83841,             0.98803,             0.91473,             0.62778,            0.028659,             0.02021,            0.015608,            0.004984,            0.004984,            0.004984
                  78,            0.031478,            0.025726,            0.016104,             0.84676,             0.98869,             0.91575,             0.70704,            0.025842,            0.019252,            0.015537,            0.004918,            0.004918,            0.004918
                  79,            0.030981,             0.02464,            0.016645,              0.8418,              0.9857,              0.9052,             0.57349,            0.031736,            0.020789,            0.015345,            0.004852,            0.004852,            0.004852
                  80,            0.029604,            0.025291,            0.015537,             0.84898,             0.98665,             0.90645,             0.67494,            0.029418,            0.019737,              0.0152,            0.004786,            0.004786,            0.004786
                  81,            0.031317,            0.026396,            0.016545,             0.80689,             0.98355,             0.92381,             0.64398,            0.028201,            0.019852,            0.015011,             0.00472,             0.00472,             0.00472
                  82,            0.030027,            0.022962,            0.015454,             0.85838,             0.98568,             0.93514,              0.7398,            0.025801,            0.018182,            0.014908,            0.004654,            0.004654,            0.004654
                  83,            0.030597,            0.023866,            0.015584,             0.80065,              0.9866,             0.92074,              0.7011,            0.030477,            0.019293,            0.014748,            0.004588,            0.004588,            0.004588
                  84,            0.030618,            0.024064,            0.015094,             0.85415,              0.9876,             0.90793,             0.69643,            0.025098,            0.019274,            0.014624,            0.004522,            0.004522,            0.004522
                  85,            0.029676,            0.026031,            0.015508,             0.85602,              0.9866,             0.92758,             0.67352,            0.026333,            0.019543,            0.014546,            0.004456,            0.004456,            0.004456
                  86,            0.030311,            0.025266,            0.015355,             0.85729,             0.98648,              0.9272,             0.71658,             0.02227,            0.018037,             0.01452,             0.00439,             0.00439,             0.00439
                  87,             0.02949,            0.024101,            0.015416,             0.85046,             0.98225,              0.9597,             0.65691,            0.032017,            0.021261,            0.014372,            0.004324,            0.004324,            0.004324
